"","date","ws","wd"
"1",2009-01-01 00:00:00,0,0
"2",2009-01-01 01:00:00,0,0
"3",2009-01-01 02:00:00,0,0
"4",2009-01-01 03:00:00,0,0
"5",2009-01-01 04:00:00,0,0
"6",2009-01-01 05:00:00,0,0
"7",2009-01-01 06:00:00,1.76,175
"8",2009-01-01 07:00:00,0,0
"9",2009-01-01 08:00:00,1.76,87
"10",2009-01-01 09:00:00,0,0
"11",2009-01-01 10:00:00,0,0
"12",2009-01-01 11:00:00,1.76,36
"13",2009-01-01 12:00:00,0,0
"14",2009-01-01 13:00:00,0,0
"15",2009-01-01 14:00:00,1.76,152
"16",2009-01-01 15:00:00,0,0
"17",2009-01-01 16:00:00,0,0
"18",2009-01-01 17:00:00,1.76,107
"19",2009-01-01 18:00:00,1.76,194
"20",2009-01-01 19:00:00,1.76,157
"21",2009-01-01 20:00:00,NA,140
"22",2009-01-01 21:00:00,2.36,NA
"23",2009-01-01 22:00:00,2.36,140
"24",2009-01-01 23:00:00,1.76,170
"25",2009-01-02 00:00:00,2.86,176
"26",2009-01-02 01:00:00,3.86,172
"27",2009-01-02 02:00:00,4.36,162
"28",2009-01-02 03:00:00,2.86,160
"29",2009-01-02 04:00:00,3.36,146
"30",2009-01-02 05:00:00,5.36,157
"31",2009-01-02 06:00:00,2.86,169
"32",2009-01-02 07:00:00,3.86,156
"33",2009-01-02 08:00:00,4.86,180
"34",2009-01-02 09:00:00,3.86,171
"35",2009-01-02 10:00:00,3.36,155
"36",2009-01-02 11:00:00,4.36,131
"37",2009-01-02 12:00:00,3.86,159
"38",2009-01-02 13:00:00,2.86,187
"39",2009-01-02 14:00:00,2.86,210
"40",2009-01-02 15:00:00,5.36,354
"41",2009-01-02 16:00:00,4.36,358
"42",2009-01-02 17:00:00,1.76,11
"43",2009-01-02 18:00:00,2.36,12
"44",2009-01-02 19:00:00,2.86,325
"45",2009-01-02 20:00:00,2.36,344
"46",2009-01-02 21:00:00,1.76,255
"47",2009-01-02 22:00:00,0,0
"48",2009-01-02 23:00:00,0,0
"49",2009-01-03 00:00:00,0,0
"50",2009-01-03 01:00:00,2.86,326
"51",2009-01-03 02:00:00,0,0
"52",2009-01-03 03:00:00,0,0
"53",2009-01-03 04:00:00,4.36,337
"54",2009-01-03 05:00:00,5.96,339
"55",2009-01-03 06:00:00,4.86,346
"56",2009-01-03 07:00:00,5.36,349
"57",2009-01-03 08:00:00,7.46,348
"58",2009-01-03 09:00:00,10.56,354
"59",2009-01-03 10:00:00,8.46,352
"60",2009-01-03 11:00:00,5.96,358
"61",2009-01-03 12:00:00,4.86,351
"62",2009-01-03 13:00:00,4.36,12
"63",2009-01-03 14:00:00,4.36,347
"64",2009-01-03 15:00:00,3.36,360
"65",2009-01-03 16:00:00,1.76,9
"66",2009-01-03 17:00:00,1.76,251
"67",2009-01-03 18:00:00,1.76,227
"68",2009-01-03 19:00:00,0,0
"69",2009-01-03 20:00:00,2.36,227
"70",2009-01-03 21:00:00,0,0
"71",2009-01-03 22:00:00,1.76,231
"72",2009-01-03 23:00:00,0,0
"73",2009-01-04 00:00:00,1.76,216
